WAREHOUSE_ID,WAREHOUSE_NAME,REGION,COUNTRY,CAPACITY_SQFT,IS_ACTIVE,MANAGER_NAME,ESTABLISHED_DATE
WH001,NAM Warehouse 1,NAM,USA,14904,N,John Smith,2010-12-18
WH002,EMEA Warehouse 2,EMEA,Germany,41280,Y,Emma Brown,2020-10-30
WH003,NAM Warehouse 3,NAM,Canada,-999,N,John Smith,2015-08-19
WH004,EMEA Warehouse 4,EMEA,France,14663,Y,Sara Lee,2020-08-23
WH005,APJ Warehouse 5,APJ,Japan,10135,Y,Sara Lee,2019-03-24
WH006,EMEA Warehouse 6,EMEA,Germany,10703,Y,Raj Patel,2019-08-10
WH007,NAM Warehouse 7,INVALID,Mexico,43507,Y,John Smith,2014-08-25
WH008,EMEA Warehouse 8,EMEA,Germany,11922,Y,Raj Patel,2019-09-24
WH009,NAM Warehouse 9,,Mexico,36823,Y,John Smith,2011-12-07
WH010,APJ Warehouse 10,APJ,Japan,7541,Y,Sara Lee,2010-07-21
WH011,NAM Warehouse 11,,Canada,23372,N,John Smith,2020-11-27
WH012,APJ Warehouse 12,APJ,Japan,22656,N,John Smith,2012-02-09
WH013,NAM Warehouse 13,NAM,Canada,8683,Y,John Smith,2013-06-28
WH014,NAM Warehouse 14,NAM,Mexico,6897,Y,John Smith,
WH015,NAM Warehouse 15,NAM,Canada,38103,Y,John Smith,2012-09-17
WH016,EMEA Warehouse 16,EMEA,UK,43461,Y,Sara Lee,2019-05-25
WH017,EMEA Warehouse 17,EMEA,Germany,INVALID,Y,Sara Lee,2017-04-05
WH018,APJ Warehouse 18,APJ,India,,N,Sara Lee,2016-09-28
WH019,APJ Warehouse 19,APJ,Japan,47122,Y,Raj Patel,2015-02-24
WH020,NAM Warehouse 20,NAM,Mexico,31027,Y,Raj Patel,2016-04-18
